Rank,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
1000,just-dance-3,Misc,E10,X360,Ubisoft,Ubisoft Paris,5.5,1.8599999999999999,1.47,0.39,0.0,0.16
1001,rocket-league,Sports,E,PS4,505 Games,Psyonix Studios,8.7,1.71,0.37,1.34,0.0,0.31
1002,nba-2k18,Sports,E10,XOne,2K Sports,Visual Concepts,7.7,1.81,1.67,0.14,0.0,0.21
1004,need-for-speed-the-run,Racing,T,PS3,Electronic Arts,EA Black Box,6.3,1.66,0.58,1.05,0.03,0.35
1008,dead-space,Shooter,M,PS3,Electronic Arts,EA Redwood Shores,8.9,1.71,1.05,0.66,0.0,0.29
1009,bloodborne,Role-Playing,M,PS4,Sony Computer Entertainment,From Software,8.2,0.0,0.0,0.0,0.0,0.0
1010,detroit-become-human,Adventure,M,PS4,Sony Interactive Entertainment,Quantic Dream,8.0,0.0,0.0,0.0,0.0,0.0
1013,dragon-quest-monsters-joker-2,Role-Playing,E10,DS,Nintendo,TOSE Software,8.1,0.0,0.0,0.0,0.0,0.0
1015,driveclub,Racing,E,PS4,Sony Computer Entertainment,Evolution Studios,7.2,0.0,0.0,0.0,0.0,0.0
1019,your-shape-fitness-evolved,Sports,E,X360,Ubisoft,Ubisoft Montreal,7.0,0.0,0.0,0.0,0.0,0.0
1020,the-legend-of-zelda-ocarina-of-time-3d,Adventure,E10,3DS,Nintendo,GREZZO,9.3,1.99,1.42,0.01,0.56,0.0
1021,touchmaster,Puzzle,E10,DS,Midway Games,Midway Studios San Diego,6.9,1.75,0.48,1.27,0.0,0.24
1022,mortal-kombat-vs-dc-universe,Fighting,T,X360,Midway Games,Midway Amusement Games,7.6,1.81,1.58,0.23,0.0,0.18
1023,tenchu-stealth-assassins,Action,M,PS,Activision,Acquire,8.8,1.8599999999999999,0.95,0.64,0.27,0.13
1025,harry-potter-and-the-chamber-of-secrets,Adventure,E,GBA,Electronic Arts,Eurocom Entertainment Software,7.2,1.9000000000000001,1.21,0.64,0.05,0.09
1026,just-cause-3,Action-Adventure,M,PS4,Square Enix,Avalanche Studios,7.5,1.6900000000000002,0.53,1.07,0.09,0.3
1027,donkey-kong-country-tropical-freeze,Platform,E,WiiU,Nintendo,Retro Studios,8.8,0.0,0.0,0.0,0.0,0.0
1029,mario-sports-mix,Sports,E,Wii,Nintendo,Square Enix,6.0,0.0,0.0,0.0,0.0,0.0
